Vertical,Pais,Lado,Empresa,Contacto,Puesto,Funcion,Ciudad,Estado,Email,Telefono,Segmento,Prioridad,LinkedIn,Fuente,Origen,electronica,nivel,region,severidad,motivo_riesgo
Electronica,Mexico,Demanda,"INTEGRATED ENERGY SYSTEMS DE MÉXICO, S.A. DE C.V.",(contacto general),(giro: FABRICACIÓN Y ENSAMBLES DE PRODU),Otro,NAUCALPAN DE JUAREZ,ESTADO DE MEXICO,ienergysystems@hotmail.com,(55 )53933699,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,IBARRA  MALAGON  SILVIANO,(contacto general),(giro: EMBOBINADO DE MOTORES ELECTRICOS),Otro,LEON,GUANAJUATO,soy_heavymetal@hotmail.com,(477 )7178926,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,CONECTORES Y HERRAJES TIZAYUCA S.A. DE C.V.,(contacto general),(giro: FABRICACION DE CONECTORES ELECTR),Otro,TIZAYUCA,HIDALGO,conhectiza@prodigy.net.mx,(01779)7962361 7967906,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"CABLES Y FIBRAS, S.A. DE C.V.",(contacto general),(giro: FABRICACION DE CABLE DE FIBRA SI),Otro,GUADALAJARA,JALISCO,cablesyfibras29@hotmail.com,(33 )38102656,Telecom/Networking,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"MECATRONICA INTERNACIONAL, S. DE R.L. DE C.V.",(contacto general),(giro: FABRICACION DE PUERTAS AUTOMATIC),Otro,GUADALAJARA,JALISCO,mecatronica-info@yahoo.com.mx,(33 )38121008,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ACCESOS CONTROLADOS, S.A. DE C.V.",(contacto general),(giro: APARATOS Y ARTÍCULOS ELÉCTRICOS),Otro,MONTERREY,NUEVO LEON,acsa@prodigy.net.mx,(81 )83432002,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"CALIBRADORES Y ESPECIALIDADES MECÁNICAS, S.A. DE C.V.",(contacto general),(giro: APARATOS Y ARTÍCULOS ELÉCTRICOS),Otro,MONTERREY,NUEVO LEON,cemec@prodigy.net.mx,(81 )83717466,Automotriz,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,CENTRO DE PRODUCCIÓN DIGITAL S.C.,(contacto general),(giro: APARATOS Y ARTÍCULOS ELÉCTRICOS),Otro,MONTERREY,NUEVO LEON,ventas@sbpro.com.mx,(81 )83468732,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"DISTRIBUIDORA ELÉCTRICA DELTA, S.A. DE C.V.",(contacto general),(giro: FABRICANTES DE EQUIPO ELÉCTRICO),Otro,GUADALUPE,NUEVO LEON,cartamx@hotmail.com,(81 )83548825,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ESPECIALIDADES DE GRAFITO, S.A. DE C.V.",(contacto general),(giro: FABRICANTES DE EQUIPO ELÉCTRICO),Otro,GARCIA,NUEVO LEON,esgraf@prodigy.net.mx,(81 )83810381,Automotriz,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ELÉCTRICA LEAL, S.A. DE C.V.",(contacto general),(giro: FABRICANTES DE EQUIPO ELÉCTRICO),Otro,MONTERREY,NUEVO LEON,electrica_leal@hotmail.com,(81 )83751694,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"GRACIDA EQUIPOS MAGNETICOS, S.A. DE C.V.",(contacto general),(giro: FABRICANTES DE EQUIPO ELÉCTRICO),Otro,MONTERREY,NUEVO LEON,ventas@gracida.com,(81 )82206190,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"INGENIERÍA EN AUDIO Y VIDEO, S.A. DE C.V",(contacto general),(giro: FABRICANTES DE EQUIPO ELÉCTRICO),Otro,MONTERREY,NUEVO LEON,mufosa@prodigy.net.mx,(81 )83743939,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"MAQUINARIA ESBO, S.A. DE C.V.",(contacto general),(giro: FABRICANTES DE EQUIPO ELÉCTRICO),Otro,SAN NICOLAS DE LOS GARZA,NUEVO LEON,ventas@mesbo.com,(81 )83308950,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"buzon generico, no nominal"
Electronica,Mexico,Demanda,"MAQUINAS TORTILLADORAS GONZÁLEZ , S.A.",(contacto general),(giro: APARATOS Y ARTÍCULOS ELÉCTRICOS),Otro,GUADALUPE,NUEVO LEON,mtg-gpe@hotmail.com,(81 )83672424,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,INDUSTRIA ELECTRICA AUTOMOTRIZ KOR S.A. DE C.V.,(contacto general),(giro: FABRICACION Y EMBOBINADO AUTOMOT),Otro,MONTERREY,NUEVO LEON,industriakor@hotmail.com,(81)83482530,Automotriz,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,SS DELTA TECH S.A. DE C.V.,(contacto general),(giro: APARATOS ELECTRONICOS),Otro,APODACA,NUEVO LEON,hhjun@ssdelta.co.kr,(81)81454197,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,dominio de matriz extranjera en contacto LATAM (patron SIIX)
Electronica,Mexico,Demanda,QUIMICA HERRCO S.A. DE C.V.,(contacto general),(giro: FABRICACION PRODUCTOS QUIMICOS P),Otro,PUEBLA,PUEBLA,mayraromanv@yahoo.com,(222 )248 12 52     249 41 00,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"DIEHL CONTROLS MEXICO, S.A. DE C.V.",(contacto general),(giro: FABRICACIONDE SISTEMAS ELECTRONI),Otro,QUERETARO,QUERETARO,pia.hernandez@diehlako,(442 )2781350,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,"ELECTROLOG, S.A. DE C.V.",(contacto general),"(giro: FAB, MAQUILA COMPRA-VTA. DE MATE)",Compras / Sourcing,QUERETARO,QUERETARO,gadam@prodigy.net.mx,(442 )2182442,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"ELECTROAPLICACIONES DE LOS MOCHIS,S.A. DE C.V.",(contacto general),(giro: FABRICACION DE EQUIPO MECANICO E),Otro,AHOME,SINALOA,electroaplicaciones@hotmail.com,(668 )817 14 71,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,ENSAMBLADORA INTERNACIONAL S.A. DE C.V.,(contacto general),(giro: MAQUILADORA EN ARNESES Y ENSAMBL),Otro,NOGALES,SONORA,drivera@prodigy.net.mx,"(631 )42917, 42345",OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"M.C. DAVIS INTERNACIONAL, S.A DE C.V.",(contacto general),(giro: ENSAMBLAR; MANUFACTURAR COMPONEN),Técnico / Procesos,MAGDALENA,SONORA,mcdavismag@prodigy.net.mx,(632)32-2-38-95,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"EMERPOWSYS, S. DE R.L. DE C.V.",(contacto general),(giro: PRODUCCION DE TRANSFORMADORES EL),Otro,REYNOSA,TAMAULIPAS,isabel.balderas@emerson com,(899 )9212951,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,ALTA,correo malformado o inferido
Electronica,Mexico,Demanda,COIL COMPANY DE MEXICO S.A. DE C.V.,(contacto general),(giro: FABRICANTE DE BOBINAS P/MOTORES ),Otro,MATAMOROS,TAMAULIPAS,coilcompany.mex@prodigy.net.mx,(868 )8100964,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,"SERVICIOS DEL TROPICO, S.A. DE C.V.",(contacto general),(giro: SERV. ELECTRONICO Y MAQUILA DE P),Otro,ORIZABA,VERACRUZ,servtrop@prodigy.net.mx,(272)7260008,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"dominio personal/gratuito, no corporativo"
Electronica,Mexico,Demanda,celestica,Rmeza,Compras,Compras / Sourcing,mty,,rmeza@celestica.com,4164485800,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,foxconn,Rociochocolatl,Compras,Compras / Sourcing,Tijuana,,rociochocolatl@foxconn.com,6641047200,TV/Displays,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,CAES (antes cobran Advanced electrónica soluciona ),Cobhamrh,Compras,Compras / Sourcing,Tijuana,,cobhamrh@honeywell.com,6646616025,Aeroespacial/Defensa,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Eaton,Athenasanchez,Compras,Compras / Sourcing,Tijuana,,athenasanchez@eaton.com,6168318295,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Eaton,Alexisaramirez,Compras,Compras / Sourcing,Tijuana,,alexisaramirez@eaton.com,6646259144 ext 5117,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,eaton,Mynamartinez,Compras,Compras / Sourcing,Tijuana,,mynamartinez@eaton.com,6311830957,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Osi electrónic,Romaldonado,Compras,Compras / Sourcing,tecate,,romaldonado@osielectronics.com,6631272486,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Osi electrónic,Sochavez,Compras,Compras / Sourcing,tecate,,sochavez@osielectronics.com,6631272486,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Parpro,Jbenitez,Compras,Compras / Sourcing,Tijuana,,jbenitez@parpro.com,6646375602,Aeroespacial/Defensa,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Parpro,Uleduc,Compras,Compras / Sourcing,Tijuana,,uleduc@parprom.com,6646375602,Aeroespacial/Defensa,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Parpro,Vflores,Compras,Compras / Sourcing,Tijuana,,vflores@parpro.com,6646375602,Aeroespacial/Defensa,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Parpro,Maramos,Compras,Compras / Sourcing,Tijuana,,maramos@parpro.com,6646375602,Aeroespacial/Defensa,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Milwaukee Electronics,Jbustos,Compras,Compras / Sourcing,Tecate,,jbustos@milwaukeeelectronics.com,(665)1226500,EMS / PCB,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Milwaukee Electronics,Mbello,buyer,Compras / Sourcing,Tecate,,mbello@milwaukee.com,(665)1226500,EMS / PCB,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Milwaukee Electronics,Jyepiz,Jr buyer,Compras / Sourcing,Tecate,,jyepiz@milwaukeeelectronics.com,(665)1226500,EMS / PCB,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,SMK Electronics,Ppreciado,buyer,Compras / Sourcing,Tijuana,,ppreciado@smkusa.com,6646259680,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
Electronica,Mexico,Demanda,Sanko,Acmx,Compras,Compras / Sourcing,,,acmx@sankoelec.com,6642317420 ext 150,OEM / Otro,,,Estudio_Electronica_Mexico_ESTRUCTURADO_ES.xlsx,Contactos,,No-Gerencial,MX,MEDIA,"nombre = buzon (correo construido, no persona verificada)"
